--- 0.1 0.05 0.01 0.001 0.1_diff 0.05_diff 0.01_diff 0.001_diff
SIM_0 879 419 99 16 7 0 42 32
SIM_1 797 403 70 2 36 14 58 114
SIM_2 985 488 104 18 2 -2 -27 -74
SIM_3 823 420 67 9 39 7 41 88
SIM_4 1098 580 137 15 -31 1 -119 -187
SIM_5 790 338 65 6 41 10 123 121
SIM_6 783 384 59 6 47 10 77 128
SIM_7 980 496 104 11 2 5 -35 -69
SIM_8 867 422 89 16 17 0 39 44
SIM_9 893 470 102 9 4 7 -9 18
SIM_10 836 403 70 8 36 8 58 75
SIM_11 845 420 89 11 17 5 41 66
SIM_12 705 324 45 7 61 9 137 206
SIM_13 815 377 76 7 30 9 84 96
SIM_14 877 436 83 9 23 7 25 34
SIM_15 841 412 74 5 32 11 49 70
SIM_16 918 444 77 8 29 8 17 -7
SIM_17 882 454 95 9 11 7 7 29
SIM_18 846 432 107 13 -1 3 29 65
SIM_19 869 429 74 4 32 12 32 42
SIM_20 816 402 70 10 36 6 59 95
SIM_21 860 442 95 10 11 6 19 51
SIM_22 923 450 81 12 25 4 11 -12
SIM_23 781 354 69 10 37 6 107 130
SIM_24 892 435 99 12 7 4 26 19
SIM_25 837 420 101 12 5 4 41 74
SIM_26 934 464 104 9 2 7 -3 -23
SIM_27 960 495 109 10 -3 6 -34 -49
SIM_28 1004 534 120 16 -14 0 -73 -93
SIM_29 830 404 83 8 23 8 57 81
SIM_30 830 402 85 9 21 7 59 81
SIM_31 881 422 77 7 29 9 39 30
SIM_32 909 476 99 16 7 0 -15 2
SIM_33 798 420 84 7 22 9 41 113
SIM_34 851 409 83 4 23 12 52 60
SIM_35 786 394 64 9 42 7 67 125
SIM_36 982 511 107 10 -1 6 -50 -71
SIM_37 901 463 81 12 25 4 -2 10
SIM_38 811 387 73 4 33 12 74 100
SIM_39 848 411 63 9 43 7 50 63
SIM_40 788 389 69 6 37 10 72 123
SIM_41 835 413 80 8 26 8 48 76
SIM_42 872 422 94 8 12 8 39 39
SIM_43 821 392 86 5 20 11 69 90
SIM_44 888 465 90 3 16 13 -4 23
SIM_45 794 388 85 9 21 7 73 117
SIM_46 937 463 102 11 4 5 -2 -26
SIM_47 869 410 76 5 30 11 51 42
SIM_48 959 509 120 12 -14 4 -48 -48
SIM_49 789 378 54 4 52 12 83 122
SIM_50 773 394 76 13 30 3 67 138
SIM_51 802 390 69 4 37 12 71 109
SIM_52 926 493 116 11 -10 5 -32 -15
SIM_53 844 441 92 5 14 11 20 67
SIM_54 786 377 58 5 48 11 84 125
SIM_55 802 391 74 3 32 13 70 109
SIM_56 766 348 66 6 40 10 113 145
SIM_57 748 361 67 8 39 8 100 163
SIM_58 956 478 89 9 17 7 -17 -45
SIM_59 798 379 64 9 42 7 82 113
SIM_60 916 462 88 10 18 6 -1 -5
SIM_61 875 426 74 5 32 11 35 36
SIM_62 914 434 90 4 16 12 27 -3
SIM_63 781 362 75 6 31 10 99 130
SIM_64 1002 513 114 12 -8 4 -52 -91
SIM_65 753 359 62 7 44 9 102 158
SIM_66 918 464 85 9 21 7 -3 -7
SIM_67 887 439 87 9 19 7 22 24
SIM_68 837 416 79 7 27 9 45 74
SIM_69 833 405 78 4 28 12 56 78
SIM_70 806 395 72 7 34 9 66 105
SIM_71 934 470 101 11 5 5 -9 -23
SIM_72 873 438 90 4 16 12 23 38
SIM_73 732 367 65 5 41 11 94 179
SIM_74 985 541 126 9 -20 7 -80 -74
SIM_75 801 383 60 5 46 11 78 110
SIM_76 757 369 62 6 44 10 92 154
SIM_77 809 396 70 8 36 8 65 102
SIM_78 877 439 95 9 11 7 22 34
SIM_79 1001 501 116 15 -10 1 -40 -90
SIM_80 872 438 85 8 21 8 23 39
SIM_81 856 421 82 9 24 7 40 55
SIM_82 959 511 111 8 -5 8 -50 -48
SIM_83 964 496 97 12 9 4 -35 -53
SIM_84 898 421 76 4 30 12 40 13
SIM_85 739 367 56 2 50 14 94 172
SIM_86 784 374 58 4 48 12 87 127
SIM_87 887 455 96 16 10 0 6 24
SIM_88 869 418 66 5 40 11 43 42
SIM_89 770 390 70 7 36 9 71 141
SIM_90 787 365 80 6 26 10 96 124
SIM_91 1065 563 125 18 -19 -2 -102 -154
SIM_92 888 455 89 10 17 6 6 23
